Policy,Score,URL
Access Control. Access to program source code shall be restricted.,0.13332926959386046,https://docs.aws.amazon.com/waf/latest/developerguide/fms-auth-and-access-control.html
Access Control. Access to program source code shall be restricted.,0.13330679009425994,https://docs.aws.amazon.com/IAM/latest/UserGuide/troubleshoot_iam-s3.html
Access Control. Access to program source code shall be restricted.,0.13319067562688017,https://docs.aws.amazon.com/IAM/latest/UserGuide/configuration-and-vulnerability-analysis.html
Access Control. Access to program source code shall be restricted.,0.13252632691015445,https://docs.aws.amazon.com/IAM/latest/UserGuide/access-analyzer-eventbridge.html
Access Control. Access to program source code shall be restricted.,0.13223005328060838,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_finding-unused.html
Access Control. Access to program source code shall be restricted.,0.13159296987367478,https://docs.aws.amazon.com/servicecatalog/latest/adminguide/controlling_access.html
Access Control. Access to program source code shall be restricted.,0.131564365407684,https://docs.aws.amazon.com/IAM/latest/UserGuide/security-iam-awsmanpol.html
Access Control. Access to program source code shall be restricted.,0.1314528865579877,https://docs.aws.amazon.com/amazonglacier/latest/dev/auth-and-access-control.html
Access Control. Access to program source code shall be restricted.,0.13143129155917244,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_access-keys_retrieve.html
Access Control. Access to program source code shall be restricted.,0.1313956764030368,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/security-iam.html
Access Control. Access to program source code shall be restricted.,0.13121454038969035,https://docs.aws.amazon.com/autoscaling/application/userguide/auth-and-access-control.html
Access Control. Access to program source code shall be restricted.,0.13086077062135637,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles_create_policy-examples.html
Access Control. Access to program source code shall be restricted.,0.13052130242026863,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles_manage_modify.html
Access Control. Access to program source code shall be restricted.,0.12946865045343783,https://docs.aws.amazon.com/IAM/latest/UserGuide/introduction_identity-management.html
Access Control. Access to program source code shall be restricted.,0.12946542747797513,https://docs.aws.amazon.com/elastictranscoder/latest/developerguide/security.html
Access Control. Access to program source code shall be restricted.,0.12938411684805462,https://docs.aws.amazon.com/migrationhub/latest/ug/auth-and-access-control.html
Access Control. Access to program source code shall be restricted.,0.12907442699351324,https://docs.aws.amazon.com/IAM/latest/UserGuide/getting-set-up.html
Access Control. Access to program source code shall be restricted.,0.12897657034200233,https://docs.aws.amazon.com/IAM/latest/UserGuide/access-analyzer-findings-view.html
Access Control. Access to program source code shall be restricted.,0.12768874698291582,https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_policies_examples_iam_multiple-services-console.html
Access Control. Access to program source code shall be restricted.,0.12617001223049662,https://docs.aws.amazon.com/robomaker/latest/dg/auth-and-access-control.html
Access Control. Access to program source code shall be restricted.,0.12528843610258356,https://docs.aws.amazon.com/IAM/latest/UserGuide/reference.html
Access Control. Access to program source code shall be restricted.,0.12512293300540367,https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_policies_examples_aws_deny-ip.html
Access Control. Access to program source code shall be restricted.,0.12495499314378684,https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies_generate-policy.html
Access Control. Access to program source code shall be restricted.,0.12416995706473079,https://docs.aws.amazon.com/location/latest/developerguide/getting-started.html
Access Control. Access to program source code shall be restricted.,0.12401075117074051,https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_policies_examples_iam_policy-sim.html
Access Control. Access to program source code shall be restricted.,0.1231850551016943,https://docs.aws.amazon.com/sdk-for-ruby/v2/api/Aws/CloudFront/Types/CloudFrontOriginAccessIdentitySummary.html
Access Control. Access to program source code shall be restricted.,0.12314783857185212,https://docs.aws.amazon.com/sdk-for-ruby/v2/api/Aws/CodeStar/Types/Code.html
Access Control. Access to program source code shall be restricted.,0.1221676183018742,https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_policies_examples_ec2_region.html
Access Control. Access to program source code shall be restricted.,0.12178812007133619,https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/private-content-overview.html
Access Control. Access to program source code shall be restricted.,0.12071267784527157,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_users.html
Access Control. Access to program source code shall be restricted.,0.12055011798166555,https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_policies_examples_aws-dates.html
Access Control. Access to program source code shall be restricted.,0.120224728969409,https://docs.aws.amazon.com/sdk-for-ruby/v2/api/Aws/CodeBuild/Types/ProjectSourceVersion.html
Access Control. Access to program source code shall be restricted.,0.12017070957236899,https://docs.aws.amazon.com/global-accelerator/latest/dg/auth-and-access-control.html
Access Control. Access to program source code shall be restricted.,0.11834484055475598,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_temp_related-topics.html
Access Control. Access to program source code shall be restricted.,0.11780013474467531,https://docs.aws.amazon.com/IAM/latest/UserGuide/access-analyzer-reference-filter-keys.html
Access Control. Access to program source code shall be restricted.,0.11779284976912688,https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_policies_examples_aws_deny-requested-region.html
Access Control. Access to program source code shall be restricted.,0.11774543189901666,https://docs.aws.amazon.com/IAM/latest/UserGuide/introduction.html
Access Control. Access to program source code shall be restricted.,0.11755186413323773,https://docs.aws.amazon.com/cli/latest/reference/accessanalyzer/index.html
Access Control. Access to program source code shall be restricted.,0.11582511098233947,https://docs.aws.amazon.com/sdk-for-ruby/v2/api/Aws/CloudWatchEvents/Types/EventSource.html
Access Control. Access to program source code shall be restricted.,0.1154806404392752,https://docs.aws.amazon.com/IAM/latest/UserGuide/introduction_quick-links-common-tasks.html
Access Control. Access to program source code shall be restricted.,0.11507553828951116,https://docs.aws.amazon.com/controltower/latest/userguide/security.html
Access Control. Access to program source code shall be restricted.,0.11502730441681838,https://docs.aws.amazon.com/waf/latest/developerguide/classic-waf-auth-and-access-control.html
Access Control. Access to program source code shall be restricted.,0.11457042944240167,https://docs.aws.amazon.com/appstream2/latest/developerguide/controlling-access.html
Access Control. Access to program source code shall be restricted.,0.11421812384035274,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles_common-scenarios_third-party.html
Access Control. Access to program source code shall be restricted.,0.11420279237755354,https://docs.aws.amazon.com/cli/latest/reference/iam/get-access-key-last-used.html
Access Control. Access to program source code shall be restricted.,0.11417464791827046,https://docs.aws.amazon.com/sdk-for-ruby/v2/api/Aws/CloudFront/Types/CloudFrontOriginAccessIdentityList.html
Access Control. Access to program source code shall be restricted.,0.11336975531372745,https://docs.aws.amazon.com/IAM/latest/UserGuide/access-analyzer-getting-started.html
Access Control. Access to program source code shall be restricted.,0.112886074822553,https://docs.aws.amazon.com/sdk-for-ruby/v2/api/Aws/Appflow/Types/ListTagsForResourceResponse.html
Access Control. Access to program source code shall be restricted.,0.11257890018878862,https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies_access-advisor-view-data.html
Access Control. Access to program source code shall be restricted.,0.11251410025274936,https://docs.aws.amazon.com/ground-station/latest/ug/auth-and-access-control.html
Access Control. Access to program source code shall be restricted.,0.11248625921544636,https://docs.aws.amazon.com/IAM/latest/UserGuide/document-history.html
Access Control. Access to program source code shall be restricted.,0.11232842238712304,https://docs.aws.amazon.com/secretsmanager/latest/userguide/auth-and-access.html
Access Control. Access to program source code shall be restricted.,0.11211544448783502,https://docs.aws.amazon.com/sdk-for-ruby/v2/api/Aws/CloudWatchEvents/Types/DescribeEventSourceResponse.html
